Date,Open,High,Low,Close,Adj Close,Volume
2019-06-03,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-06-04,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-06-05,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-06-06,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-06-07,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-06-10,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-06-11,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-06-12,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-06-13,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-06-14,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-06-17,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-06-18,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-06-19,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-06-20,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-06-21,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-06-24,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-06-25,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-06-26,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-06-27,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-06-28,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-07-01,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-07-02,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-07-03,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-07-05,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-07-08,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-07-09,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-07-10,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-07-11,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-07-12,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-07-15,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-07-16,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-07-17,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-07-18,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-07-19,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-07-22,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-07-23,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-07-24,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-07-25,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-07-26,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-07-29,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-07-30,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-07-31,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-08-01,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-08-02,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-08-05,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-08-06,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-08-07,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-08-08,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-08-09,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-08-12,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-08-13,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-08-14,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-08-15,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-08-16,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-08-19,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-08-20,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-08-21,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-08-22,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-08-23,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-08-26,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-08-27,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-08-28,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-08-29,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-08-30,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-09-03,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-09-04,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-09-05,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-09-06,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-09-09,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-09-10,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-09-11,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-09-12,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-09-13,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-09-16,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-09-17,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-09-18,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-09-19,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-09-20,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-09-23,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-09-24,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-09-25,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-09-26,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-09-27,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-09-30,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-10-01,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-10-02,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-10-03,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-10-04,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-10-07,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-10-08,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-10-09,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-10-10,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-10-11,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-10-14,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-10-15,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-10-16,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-10-17,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-10-18,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-10-21,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-10-22,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-10-23,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-10-24,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-10-25,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-10-28,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-10-29,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-10-30,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-10-31,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-11-01,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-11-04,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-11-05,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-11-06,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-11-07,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-11-08,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-11-11,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-11-12,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-11-13,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-11-14,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-11-15,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-11-18,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-11-19,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-11-20,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-11-21,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-11-22,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-11-25,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-11-26,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-11-27,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-11-29,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-12-02,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-12-03,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-12-04,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-12-05,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-12-06,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
2019-12-09,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,5.276599884033203,0
